rec,id,ecl_time,line
rec_031,0954-1898,2025-12-11 16:40:00 +01,BL-80930
rec_031,0531-0893,2025-12-10 17:20:00 +01,BL-80930
rec_031,0512-2100,2025-12-10 17:50:00 +01,BL-80930
rec_031,0507-0225,2025-12-11 05:30:00 +01,BL-80930
rec_031,0526-2172,2025-12-10 23:50:00 +01,BL-80930
rec_031,1016-2017,2025-12-11 11:10:00 +01,BL-80930
rec_031,0533-0389,2025-12-10 19:30:00 +01,BL-80930
rec_031,0544-1420,2025-12-11 00:10:00 +01,BL-80930
rec_031,0519-0688,2025-12-11 12:20:00 +01,BL-80930
rec_031,0434-2058,2025-12-11 08:00:00 +01,BL-80930
rec_031,0765-2184,2025-12-11 02:10:00 +01,BL-80930
rec_031,1008-0764,2025-12-13 18:10:00 +01,BL-80930
rec_031,0908-1654,NA,BL-80930
rec_031,0493-2037,2025-12-10 19:40:00 +01,BL-80930
rec_031,1064-0185,NA,BL-80930
rec_031,0759-0565,2025-12-11 19:30:00 +01,BL-80930
rec_031,1122-0162,2025-12-13 02:10:00 +01,BL-80930
rec_031,0860-0720,2025-12-12 06:00:00 +01,BL-80930
rec_031,0546-2149,2025-12-10 19:30:00 +01,BL-80930
rec_031,0475-1340,2025-12-11 05:10:00 +01,BL-80930
rec_031,1165-0476,2025-12-11 19:00:00 +01,BL-80930
rec_031,1013-1952,2025-12-10 18:00:00 +01,BL-80930
rec_031,1173-1349,2025-12-11 23:20:00 +01,BL-80930
rec_031,0947-1844,2025-12-12 16:00:00 +01,BL-80930
rec_031,0457-0756,2025-12-10 18:10:00 +01,BL-80930
rec_031,0926-1856,2025-12-12 07:20:00 +01,BL-80930
rec_031,1187-1199,NA,BL-80930
rec_031,0485-1885,2025-12-11 21:30:00 +01,BL-80930
rec_031,1171-1339,2025-12-11 11:30:00 +01,BL-80930
rec_031,0723-0944,2025-12-11 03:40:00 +01,BL-80930
rec_031,0498-1415,2025-12-11 10:30:00 +01,BL-80930
rec_031,0684-0922,2025-12-13 00:10:00 +01,BL-80930
rec_031,0554-0226,2025-12-11 05:30:00 +01,BL-80930
rec_031,1027-1737,2025-12-11 23:50:00 +01,BL-80930
rec_031,1098-1825,2025-12-11 12:50:00 +01,BL-80930
rec_031,0657-0134,2025-12-13 01:20:00 +01,BL-80930
rec_031,0774-0194,2025-12-13 00:10:00 +01,BL-80930
rec_031,0324-2134,2025-12-11 07:30:00 +01,BL-80930
rec_031,0972-0213,2025-12-12 14:50:00 +01,BL-80930
rec_031,0481-0245,2025-12-11 14:40:00 +01,BL-80930
rec_031,0480-2108,2025-12-11 05:20:00 +01,BL-80930
rec_031,1201-0617,2025-12-12 09:30:00 +01,BL-80930
rec_031,1188-0485,2025-12-12 10:30:00 +01,BL-80930
rec_031,0996-1854,2025-12-13 11:40:00 +01,BL-80930
rec_031,1146-0906,2025-12-12 16:00:00 +01,BL-80930
rec_031,0818-0437,2025-12-11 14:10:00 +01,BL-80930
rec_031,0759-0165,2025-12-12 09:40:00 +01,BL-80930
rec_031,1016-1491,2025-12-12 00:30:00 +01,BL-80930
rec_031,0999-1254,2025-12-12 06:40:00 +01,BL-80930
rec_031,1127-1802,2025-12-11 16:10:00 +01,BL-80930
rec_031,0819-2012,2025-12-12 09:40:00 +01,BL-80930
rec_031,0802-1891,2025-12-12 05:50:00 +01,BL-80930
rec_031,1089-2078,2025-12-11 07:00:00 +01,BL-80930
rec_031,1133-1406,2025-12-11 03:40:00 +01,BL-80930
rec_031,0704-0951,2025-12-11 00:10:00 +01,BL-80930
rec_031,0179-0432,2025-12-12 14:40:00 +01,BL-80930
rec_031,0805-0695,2025-12-13 01:30:00 +01,BL-80930
rec_031,0500-1404,2025-12-11 02:40:00 +01,BL-80930
rec_031,1131-1558,2025-12-11 10:50:00 +01,BL-80930
rec_031,0554-0911,2025-12-10 23:20:00 +01,BL-80930
rec_031,0304-0217,2025-12-12 17:40:00 +01,BL-80930
rec_031,1135-0926,2025-12-11 10:40:00 +01,BL-80930
rec_031,0555-1411,2025-12-10 21:20:00 +01,BL-80930
rec_031,0384-0147,2025-12-12 11:50:00 +01,BL-80930
rec_031,0925-1698,2025-12-12 09:10:00 +01,BL-80930
rec_031,0340-0193,2025-12-13 09:10:00 +01,BL-80930
rec_031,0810-1792,NA,BL-80930
rec_031,0266-2091,2025-12-11 08:40:00 +01,BL-80930
rec_031,0988-0610,2025-12-13 03:20:00 +01,BL-80930
rec_031,1144-1650,2025-12-10 20:10:00 +01,BL-80930
rec_031,1022-0345,2025-12-13 14:20:00 +01,BL-80930
rec_031,1119-0614,2025-12-12 05:50:00 +01,BL-80930
rec_031,0367-0991,2025-12-11 11:50:00 +01,BL-80930
rec_031,0441-0984,2025-12-10 21:50:00 +01,BL-80930
rec_031,0472-0208,2025-12-11 04:00:00 +01,BL-80930
rec_031,0495-1961,2025-12-11 09:50:00 +01,BL-80930
rec_031,0478-1400,2025-12-11 06:20:00 +01,BL-80930
rec_031,0237-1703,2025-12-11 02:00:00 +01,BL-80930
rec_031,1104-0204,2025-12-12 12:10:00 +01,BL-80930
rec_031,0452-0174,2025-12-11 14:40:00 +01,BL-80930
rec_031,0826-0446,2025-12-13 15:00:00 +01,BL-80930
rec_031,0844-1846,2025-12-13 19:00:00 +01,BL-80930
rec_031,1182-1900,2025-12-11 07:40:00 +01,BL-80930
rec_031,0512-1010,2025-12-11 00:50:00 +01,BL-80930
rec_031,0485-0154,2025-12-11 11:10:00 +01,BL-80930
rec_031,0493-1474,2025-12-12 05:50:00 +01,BL-80930
rec_031,1085-0910,2025-12-13 13:50:00 +01,BL-80930
rec_031,0496-2082,2025-12-10 16:10:00 +01,BL-80930
rec_031,0550-1248,2025-12-11 01:10:00 +01,BL-80930
rec_031,1182-0657,2025-12-12 00:50:00 +01,BL-80930
rec_031,1024-1831,2025-12-12 12:50:00 +01,BL-80930
rec_031,1024-0846,NA,BL-80930
rec_031,0522-0259,2025-12-11 06:30:00 +01,BL-80930
rec_031,0339-1940,2025-12-11 21:10:00 +01,BL-80930
rec_031,1076-1888,2025-12-11 07:40:00 +01,BL-80930
rec_031,1132-0406,2025-12-12 09:00:00 +01,BL-80930
rec_031,0511-2123,2025-12-11 06:10:00 +01,BL-80930
rec_031,0891-2170,2025-12-11 19:50:00 +01,BL-80930
rec_031,0332-1621,2025-12-11 04:20:00 +01,BL-80930
rec_031,0197-1267,2025-12-13 02:20:00 +01,BL-80930
rec_031,0893-0686,2025-12-13 06:00:00 +01,BL-80930
rec_031,0801-2115,2025-12-12 07:50:00 +01,BL-80930
rec_031,0942-2054,2025-12-11 19:00:00 +01,BL-80930
rec_031,1038-1801,2025-12-12 16:00:00 +01,BL-80930
rec_031,0528-2100,2025-12-11 01:50:00 +01,BL-80930
rec_031,0849-0469,2025-12-13 12:30:00 +01,BL-80930
rec_031,0686-1678,2025-12-12 02:10:00 +01,BL-80930
rec_031,0484-0739,2025-12-11 09:10:00 +01,BL-80930
rec_031,1077-0168,2025-12-13 03:20:00 +01,BL-80930
rec_031,1189-1310,2025-12-11 02:20:00 +01,BL-80930
rec_031,0858-0282,NA,BL-80930
rec_031,0252-2119,2025-12-11 12:10:00 +01,BL-80930
rec_031,1078-1752,2025-12-11 02:40:00 +01,BL-80930
rec_031,0155-1750,2025-12-11 12:00:00 +01,BL-80930
rec_031,0513-1522,2025-12-13 00:10:00 +01,BL-80930
rec_031,0980-1757,2025-12-11 20:20:00 +01,BL-80930
rec_031,0912-0159,2025-12-12 18:20:00 +01,BL-80930
rec_031,0912-0476,2025-12-13 04:40:00 +01,BL-80930
rec_031,1116-1317,2025-12-11 09:40:00 +01,BL-80930
rec_031,0820-2135,2025-12-12 09:10:00 +01,BL-80930
rec_031,0848-1663,2025-12-12 13:40:00 +01,BL-80930
rec_031,0460-1908,2025-12-12 03:20:00 +01,BL-80930
rec_031,0471-1948,2025-12-11 03:50:00 +01,BL-80930
